日期,地区,品类,销售额,订单量,毛利率
2025-04-18,西南,服饰,6625.21,150,0.3894
2025-07-28,华南,数码,8293.15,83,0.1338
2025-06-13,华北,数码,14427.08,248,0.1238
2025-07-28,华南,家电,6619.89,256,0.3327
2025-02-05,西南,数码,15037.73,260,0.278
2025-06-30,华南,食品,3506.39,210,0.206
2025-02-21,华东,服饰,4253.78,109,0.1863
2025-05-01,华东,家电,23562.07,28,0.4373
2025-07-04,华东,数码,8166.5,253,0.3602
2025-01-20,华东,食品,2837.91,150,0.1346
2025-04-25,华南,服饰,4576.36,177,0.2063
2025-01-31,华南,数码,10651.29,26,0.4004
2025-06-18,西南,食品,2612.4,66,0.3318
2025-02-22,华南,数码,10389.63,155,0.2971
2025-07-19,华东,数码,5167.14,166,0.3455
2025-08-24,华南,服饰,1787.67,199,0.4062
2025-07-25,华东,家电,17983.8,53,0.1896
2025-02-22,华南,美妆,3975.55,104,0.2048
2025-06-09,华北,服饰,4058.91,132,0.31
2025-07-15,华南,美妆,5166.86,206,0.3563
2025-08-17,西南,家电,14075.87,181,0.2561
2025-03-24,西南,食品,1599.27,274,0.3484
2025-05-13,华北,美妆,2547.0,269,0.3297
2025-02-10,华东,食品,3346.26,33,0.1501
2025-04-04,西南,服饰,4072.17,240,0.1642
2025-02-26,华东,数码,10355.26,84,0.3797
2025-08-26,华南,数码,7118.44,72,0.1515
2025-04-20,华东,数码,14281.36,28,0.1994
2025-05-26,华东,食品,2664.77,236,0.3516
2025-03-21,华东,食品,4083.31,28,0.2378
2025-02-07,华北,家电,8609.21,100,0.1992
2025-03-15,华东,服饰,5573.66,212,0.1709
2025-01-18,华北,家电,18044.49,231,0.1282
2025-05-02,华南,美妆,5946.03,115,0.3443
2025-07-18,华南,食品,2628.6,231,0.3188
2025-04-11,华北,食品,3102.15,264,0.3347
2025-06-10,华北,服饰,1963.24,92,0.3755
2025-03-28,西南,家电,24774.79,271,0.1861
2025-02-11,华南,食品,1586.61,102,0.2288
2025-07-17,西南,美妆,3864.29,108,0.3611
2025-07-05,华南,家电,9858.01,29,0.1954
2025-01-15,华南,家电,17475.02,145,0.2419
2025-02-23,华南,服饰,5795.67,75,0.3427
2025-04-19,华南,食品,3163.76,292,0.2452
2025-08-09,华东,食品,2307.26,240,0.2923
2025-05-11,华北,食品,2920.69,22,0.3526
2025-06-08,华东,服饰,4339.25,163,0.1393
2025-03-11,华北,服饰,4374.13,51,0.2687
2025-06-25,华东,服饰,6513.71,208,0.3918
2025-02-01,西南,食品,3618.95,185,0.4011
2025-06-04,华东,数码,6485.08,40,0.191
2025-03-08,华北,美妆,3788.53,65,0.2641
2025-01-13,西南,家电,16565.26,104,0.2451
2025-03-26,华东,数码,12627.36,206,0.2893
2025-05-29,华北,服饰,2395.31,79,0.1954
2025-05-09,华南,食品,1441.89,183,0.1422
2025-03-26,华北,数码,6307.64,37,0.1617
2025-02-10,西南,服饰,3385.31,271,0.4398
2025-01-04,华东,服饰,3473.15,128,0.4213
2025-05-08,西南,数码,4726.15,133,0.2885
2025-03-27,华南,服饰,3662.21,90,0.2947
2025-03-06,西南,服饰,2652.81,196,0.2619
2025-03-03,西南,数码,4206.43,67,0.2625
2025-06-07,西南,数码,5649.15,90,0.2583
2025-07-02,华东,家电,17923.77,226,0.2616
2025-01-25,华南,食品,2981.83,300,0.2672
2025-05-12,西南,美妆,6057.14,218,0.3217
2025-04-01,华南,家电,20659.24,35,0.2844
2025-01-19,华北,食品,1575.46,162,0.2359
2025-02-19,华南,食品,1414.27,258,0.4174
2025-01-27,西南,家电,18104.37,221,0.3153
2025-04-23,西南,美妆,3154.52,229,0.1692
2025-01-12,华东,食品,2635.73,45,0.3352
2025-06-05,华北,数码,7484.46,82,0.1239
2025-05-05,华东,食品,2143.33,188,0.2653
2025-06-17,华北,家电,13562.41,262,0.3984
2025-04-16,西南,美妆,3933.61,146,0.3445
2025-05-21,西南,数码,4573.07,285,0.3444
2025-04-26,华北,食品,2796.42,151,0.3719
2025-03-14,西南,家电,8103.96,99,0.1455
2025-06-15,华东,服饰,5852.3,35,0.2623
2025-01-05,华北,美妆,2911.0,76,0.1704
2025-02-20,华东,美妆,5067.1,137,0.3203
2025-01-31,华东,美妆,5235.12,292,0.2614
2025-03-20,西南,美妆,3052.02,93,0.2161
2025-08-18,华北,家电,16672.57,137,0.1869
2025-05-28,华东,服饰,4644.07,81,0.1242
2025-02-12,西南,食品,1312.07,275,0.3264
2025-08-07,华南,食品,2168.34,137,0.2448
2025-04-06,西南,美妆,2789.92,187,0.4274
2025-02-04,华南,服饰,6503.07,176,0.203
2025-03-04,华东,美妆,5891.94,34,0.1795
2025-01-08,西南,数码,12045.38,85,0.3377
2025-08-19,华南,家电,15428.72,60,0.343
2025-01-17,华北,美妆,1886.59,95,0.2618
2025-02-21,华北,家电,13333.02,69,0.4181
2025-01-07,华东,服饰,5420.18,98,0.2434
2025-04-19,西南,食品,1680.18,198,0.1591
2025-08-06,华北,数码,4870.46,284,0.4362
2025-08-18,华北,美妆,2166.99,275,0.3632
2025-07-28,华南,家电,10571.8,102,0.1807
2025-08-08,华北,食品,2842.55,292,0.2861
2025-06-01,西南,服饰,2159.45,234,0.2824
2025-07-27,华东,服饰,7005.61,64,0.2129
2025-06-02,西南,数码,8632.36,242,0.3386
2025-08-03,华东,服饰,3332.9,125,0.2909
2025-02-07,华北,美妆,3431.0,172,0.4039
2025-04-09,华北,美妆,3182.85,289,0.2444
2025-08-20,西南,食品,2926.64,277,0.2346
2025-03-03,华南,家电,16881.29,82,0.2556
2025-01-23,华北,食品,1942.57,95,0.3365
2025-03-04,西南,数码,4654.17,66,0.3662
2025-08-22,华北,家电,15708.5,262,0.3859
2025-04-02,华北,服饰,7451.68,196,0.4419
2025-06-28,西南,服饰,4708.94,274,0.4492
2025-08-07,西南,食品,1659.99,93,0.3822
2025-04-07,华东,食品,2139.98,262,0.2076
2025-04-03,西南,美妆,2661.12,187,0.4281
2025-07-26,西南,数码,10002.51,32,0.2715
2025-06-23,西南,服饰,3911.13,65,0.182
2025-03-23,华东,家电,22791.08,178,0.2901
2025-07-29,华南,家电,14001.38,71,0.2141
2025-05-22,华北,食品,1047.42,72,0.2234
2025-01-27,西南,食品,1236.78,227,0.359
2025-04-01,华南,数码,7597.24,84,0.3263
2025-03-16,华北,食品,2975.68,139,0.2962
2025-05-07,西南,美妆,3522.61,298,0.1321
2025-05-11,华北,服饰,5025.28,72,0.3838
2025-08-06,华北,美妆,3238.63,282,0.1329
2025-02-25,华东,食品,2990.8,36,0.3478
2025-03-27,华南,服饰,3392.22,98,0.3441
2025-05-13,华东,家电,10050.04,281,0.2482
2025-05-27,西南,家电,5867.83,242,0.1583
2025-07-09,华南,服饰,3752.11,109,0.4085
2025-05-18,华南,服饰,5019.08,187,0.312
2025-03-05,西南,食品,1852.56,209,0.2228
2025-05-06,西南,服饰,4042.86,144,0.2275
2025-07-04,华南,食品,2812.42,195,0.4487
2025-01-03,华南,美妆,1912.44,43,0.3382
2025-03-20,西南,数码,10261.37,174,0.1602
2025-07-21,华南,美妆,1966.3,123,0.3248
2025-04-09,华北,服饰,5108.59,270,0.2246
2025-05-25,华东,家电,11724.46,290,0.4133
2025-01-03,华南,家电,10008.6,156,0.3516
2025-04-11,华南,服饰,2961.54,65,0.3353
2025-06-09,华南,服饰,5739.79,200,0.4327
2025-06-14,华北,家电,11084.07,170,0.1266
2025-01-03,华南,数码,10961.01,214,0.2117
2025-06-29,华北,美妆,1875.47,261,0.1622
2025-06-07,华北,数码,8828.7,171,0.2846
2025-04-08,西南,家电,15995.23,36,0.3089
2025-04-26,西南,家电,17258.09,288,0.1312
2025-02-15,西南,食品,1703.23,273,0.4384
2025-06-25,西南,家电,24131.74,199,0.2336
2025-01-01,华东,数码,9955.31,134,0.166
2025-01-04,华东,美妆,3379.95,103,0.2725
2025-04-13,西南,服饰,2552.23,189,0.1736
2025-02-22,西南,服饰,6764.42,78,0.2745
2025-03-31,华东,食品,2542.84,85,0.4097
2025-05-18,华东,食品,3048.17,52,0.3826
2025-05-04,西南,数码,4914.09,67,0.317
2025-04-15,华南,美妆,3671.36,153,0.3357
2025-05-29,华东,食品,2511.04,48,0.2849
2025-01-30,华北,数码,8634.15,72,0.3501
2025-03-19,华南,家电,10220.56,211,0.1941
2025-07-01,西南,数码,11098.31,90,0.4475
2025-06-11,华南,数码,9068.15,71,0.2311
2025-04-28,西南,食品,1197.04,26,0.1255
2025-04-15,华南,数码,12238.99,208,0.3228
2025-06-29,华北,美妆,4587.84,203,0.2874
2025-08-04,华南,数码,13016.69,154,0.3109
2025-08-04,华北,食品,3104.49,59,0.2905
2025-06-26,华东,服饰,1821.33,103,0.4018
2025-05-26,华东,美妆,3057.33,162,0.1476
2025-07-10,华南,数码,9056.56,113,0.1576
2025-08-02,华北,食品,2925.58,132,0.3713
